MatchID,SeasonMatchNumber,TeamName,Date_of_Match,Opponent,HomeOrAway,Outcome,GoalsFor,GoalsAgainst,Assists,MatchLength,FirstHalfLength,SecondHalfLength,Formation,Starters,Substitutes,Captains,CurrentStanding,PossessionPercent,ShotsFor,ShotsAgainst,ShotsOnGoal,ShotsOnGoalAgainst,BlockedShots,TotalPasses,PassingAccuracyPercentage,CornersFor,CornersAgainst,CrossesFor,CrossesAgainst,DualsWon,Saves,Clearances,FoulsPerpetrated,FoulsAgainst,YellowCardsRecieved,RedCardsRecieved,OwnGoals,ThrowInsFor,GoalsInMatchFor,GoalsInMatchAgainst,PKTime,PKsPlayers,PKScored,DirectionFor,HeightFor,OnWWOutFor,TouchedFor,DirectionAgainst,HeightAgainst,OnWWOutAgainst,TouchedAgainst
0121,147,Angel City FC,23092024,10,home,D,02,02,01,10335,4800,5535,4-2-3-1,"""13, 27, 06, 11, 03, 99, 04, 21, 08, 10, 02""","""17082067, 16242080, 06212080. 11042087""","""11""",09,56,15,13,04,07,06,396,80,06,04,28,13,43,05,22,09,09,00,00,00,25,"""2108100930, 1003207509""","""13204909, 13206356""",X,X,X,X,X,X,X,X,X,X,X
1021,147,Portland Thorns FC,23092024,01,away,D,02,02,02,10335,4800,5535,3-5-2,"""30, 20, 04, 06, 02, 13, 17, 21, 23, 12, 22""","""66222062, 27212078, 24122092""","""04""",06,44,13,15,07,04,02,299,76,04,06,13,28,48,02,15,09,09,01,00,00,21,"""2223204809, 1311206356""","""30100930, 30207509""",X,X,X,X,X,X,X,X,X,X,X
0505,031,Kansas City Current,20042024,02,home,W,05,02,03,10322,5108,5214,4-2-3-1,"""21, 05, 07, 24, 04, 22, 14, 06, 16, 77, 09""","""02042065, 94162065, 17772065, 47092077, 120620990""","""21""",01,38,23,15,17,11,06,218,74,06,09,17,21,55,02,26,08,13,00,00,00,23,"""09XX100127, 2277100602, 0616205556, 0616206136, 09XX207205""","""21101655, 21207749""",X,X,X,X,X,X,X,X,X,X,X
0205,031,Bay FC,20042024,05,away,L,02,05,02,10322,5108,5214,4-3-3,"""44, 02, 27, 04, 03, 19, 22, 10, 09, 08, 12""","""18221032, 07102067, 15192067, 02272081, 24032081""","""22, 04""",06,62,15,23,11,17,07,406,83,09,06,21,17,47,06,25,13,08,02,00,00,23,"""2710101655, 1218207749""","""44100127, 44100602, 44205556, 44206136, 44207205""",X,X,X,X,X,X,X,X,X,X,X
0119,127,Angel City FC,06092024,08,home,L,02,03,02,11537,5747,5750,4-2-3-1,"""13, 03, 06, 11, 16, 08, 04, 10, 07, 21, 02""","""23102071, 06112071, 99042071, 24032082""","""11""",09,62,12,12,07,07,03,454,83,08,05,19,20,40,04,13,09,09,01,00,00,20,"""2102100741, 1602209830""","""13103057, 13105016, 13205802""","""103057""",K13,Y,NA,NA,NA,NA,R,L,On,N
0819,127,Seattle Reign FC,06092024,01,away,W,03,02,01,11537,5747,5750,4-2-2-2,"""09, 10, 23, 34, 91, 05, 25, 21, 13, 11, 01""","""08101017, 12092071, 03252071, 16912092, 30232092""","""11""",12,38,12,12,07,07,03,228,71,05,08,20,19,46,05,31,09,09,01,00,00,10,"""11XX103057, 91XX105016, 23XX205802""","""01100741, 01209830""","""103057""",S11,Y,R,L,On,N,NA,NA,NA,NA
0609,067,NJ/NY Gotham FC,19051700,03,home,W,02,01,02,10044,4806,5238,4-3-3,"""30, 25, 06, 21, 02, 16, 14, 17, 18, 09, 10""","""13162062, 19112066, 15162066. 77142082, 03272082""","""10""",07,56,15,08,07,06,01,346,76,06,02,17,10,55,03,21,10,06,02,00,00,28,"""1009205639, 1302208951""","""30207327""",X,X,X,X,X,X,X,X,X,X,X
0310,067,Chicago Red Stars,19051700,06,away,L,01,02,00,10044,4806,5238,4-2-3-1,"""19, 23, 03, 12, 28, 04, 13, 09, 34, 24, 55""","""05342064, 08242064, 33552093, 20132093""","""09""",05,44,08,15,06,07,02,241,66,02,06,10,17,64,04,29,06,10,01,00,00,30,"""55XX207327""","""19205639, 19208951""",X,X,X,X,X,X,X,X,X,X,X
1322,150,Utah Royals FC,28092024,11,home,W,01,00,01,10725,5616,5109,4-2-3-1,"""32, 03, 08, 18, 12, 17, 26, 24, 22, 04, 33""","""20041007, 21222046, 07172087""","""04, 08""",13,54,17,11,05,02,05,368,82,08,02,19,13,42,02,13,17,09,04,00,00,22,"""1726207752""",X,X,X,X,X,X,X,X,X,X,X,X
1122,150,Racing Louisville FC,28092024,13,away,L,00,01,00,10725,5616,5109,4-2-3-1,"""01, 11, 20, 03, 02, 08, 26, 16, 14, 07, 88""","""13082046, 09882046, 17162086""","""20""",09,46,11,17,02,05,05,292,78,02,08,13,19,48,04,18,09,17,01,00,00,33,X,"""01207752""",X,X,X,X,X,X,X,X,X,X,X
1121,143,Racing Louisville FC,21092024,07,home,W,02,01,00,10426,5024,5402,4-2-3-1,"""01, 02, 03, 20, 11, 26, 08, 07, 14, 16, 88""","""13082059, 17162068, 21882093""","""20""",11,36,13,09,03,02,03,280,85,03,03,07,14,35,01,25,04,12,01,00,00,14,"""13XX207838, 88XX209139""","""01104203""","""209138""",S88,Y,R,L,On,N,NA,NA,NA,NA
0721,143,North Carolina Courage,21092024,11,away,L,01,02,01,10426,5024,5402,4-2-3-1,"""01, 11, 07, 03, 13, 17, 06, 05, 02, 77, 08""","""09082073, 20132073, 25772084, 27112084, 23172094""","""03, 09""",05,64,09,13,02,03,02,524,89,03,03,14,07,34,01,06,12,04,04,00,00,12,"""0802104203""","""01207838, 01209139""","""209138""",K01,Y,NA,NA,NA,NA,R,L,On,N
0509,059,Kansas City Current,12052024,07,home,W,01,00,00,09822,4614,5208,4-4-2,"""21, 04, 12, 24, 18, 99, 10, 14, 77, 06, 16""","""08772060, 17992060, 94162061, 07182074""","""10""",02,44,21,07,18,04,10,260,73,08,03,28,11,57,02,18,08,07,01,00,00,35,"""99XX205134""",X,X,X,X,X,X,X,X,X,X,X,X
0709,059,North Carolina Courage,12052024,05,away,L,00,01,00,09822,4614,5208,4-2-3-1,"""34, 05, 02, 14, 06, 10, 11, 17, 03, 13, 01""","""08102058, 23342067, 94242076""","""10, 13""",06,56,07,21,04,18,02,342,74,03,08,11,26,47,07,39,07,08,01,00,00,32,X,"""01205134""",X,X,X,X,X,X,X,X,X,X,X
0922,151,Orlando Pride,28092024,04,home,W,03,01,02,11022,5036,5946,4-2-3-1,"""01, 31, 06, 03, 19, 28, 16, 09, 10, 20, 22""","""15162046, 25282064, 07202071, 12312071, 14092089""","""10""",01,55,23,14,10,06,07,370,83,08,04,22,11,52,05,09,11,08,01,00,00,18,"""1912102819, 15XX205011, 1022209115""","""01205256""",X,X,X,X,X,X,X,X,X,X,X
0422,151,Houston Dash,28092024,09,away,L,01,03,01,11022,5036,5946,4-3-3,"""21, 09, 15, 14, 10, 31, 30, 07, 33, 11, 01""","""02212046, 13212066, 17142081, 26222082""","""01""",14,45,14,23,06,10,05,284,77,04,08,11,22,50,07,21,08,11,00,00,00,21,"""1431205256""","""01102819, 01205011, 01209115""",X,X,X,X,X,X,X,X,X,X,X
0822,154,Seattle Reign FC,29092024,02,home,L,00,01,00,10101,5017,5044,4-3-3,"""01, 24, 21, 03, 31, 12, 05, 91, 34, 09, 23""","""23032046, 47232068, 25312068, 30342079, 16122086""","""03, 05""",11,61,13,11,03,06,03,449,80,08,04,24,13,52,05,10,04,09,00,00,00,30,X,"""01102617""","""102616""",K01,Y,NA,NA,NA,NA,L,L,On,N
0222,154,Bay FC,29092024,08,away,W,01,00,00,10101,5017,5044,4-2-3-1,"""08, 09, 12, 55, 19, 23, 24, 04, 13, 03, 99""","""21552057, 10122088""","""04""",08,39,11,13,06,03,02,265,75,04,08,13,24,39,03,32,09,04,01,00,00,28,"""08XX102617""",X,"""102616""",S08,Y,L,L,On,N,NA,NA,NA,NA
1326,176,Utah Royals FC,01112024,06,home,L,01,04,01,10323,5101,5222,4-2-3-1,"""01, 08, 17, 18, 16, 26, 22, 15, 09, 29, 33""","""20292046, 35222085""","""08""",10,44,07,23,02,09,00,296,82,03,13,12,24,40,04,27,07,10,01,00,00,19,"""3308207349""","""01101420, 01101655, 01207647, 01208357""",X,X,X,X,X,X,X,X,X,X,X
0626,176,NJ/NY Gotham FC,01112024,13,away,W,04,01,03,10323,5101,5222,4-1-4-1,"""09, 13, 17, 16, 18, 14, 22, 21, 06, 27, 30""","""02162064, 06132064, 07082085, 03092085, 77112087""","""22""",03,56,23,07,09,02,06,390,86,13,03,24,12,46,01,10,10,07,03,00,00,21,"""1813101420, 22XX101655, 0922207647, 0918208357""","""30207349""",X,X,X,X,X,X,X,X,X,X,X
1112,084,Racing Louisville FC,15062024,06,home,L,00,02,00,10700,5100,5600,4-4-2,"""01, 02, 03, 20, 16, 13, 26, 14, 09, 66, 07""","""23662066, 21092067, 07262074, 17132086""","""20""",07,38,05,09,03,05,01,244,77,04,04,11,17,55,02,12,17,12,02,00,00,27,X,"""01102044, 01205229""",X,X,X,X,X,X,X,X,X,X,X
0612,084,NJ/NY Gotham FC,15062024,11,away,W,02,00,02,10700,5100,5600,4-2-3-1,"""13, 28, 16, 19, 18, 14, 02, 15, 06, 22, 30""","""03192063, 08282063, 07132068, 77142078, 16222078""","""15""",05,62,09,05,05,03,01,465,88,04,04,17,11,46,02,09,12,17,02,00,00,23,"""1819102044, 1322205229""",X,X,X,X,X,X,X,X,X,X,X,X
0115,105,Angel City FC,30062024,09,home,L,00,03,00,10420,4902,5518,4-2-3-1,"""13, 20, 27, 11, 12, 99, 07, 10, 17, 21, 02""","""06242063, 06022063, 03122072, 44202080, 08112080""","""11""",10,51,13,15,10,10,03,294,78,06,02,12,11,46,06,21,10,11,03,00,00,21,X,"""13101918, 13102534, 13209505""",X,X,X,X,X,X,X,X,X,X,X
0915,105,Orlando Pride,30062024,01,away,W,03,00,01,10420,4902,5518,4-4-1-1,"""01, 12, 06, 03, 25, 09, 02, 28, 20, 10, 22""","""15282063, 04122074, 11202074, 12092085""","""10""",02,49,15,13,10,10,01,278,77,02,06,11,12,58,07,16,11,10,01,00,00,31,"""0910101918, 09XX102534, 22XX209505""",X,X,X,X,X,X,X,X,X,X,X,X
0221,142,Bay FC,20092024,09,home,L,00,01,00,09741,4700,5041,4-1-4-1,"""00, 20, 04, 13, 03, 23, 09, 19, 12, 21, 08""","""24202061, 55082077""","""04""",07,45,13,13,06,06,02,324,80,01,04,13,22,37,06,19,08,07,01,00,00,27,X,"""00208347""",X,X,X,X,X,X,X,X,X,X,X
0921,142,Orlando Pride,20092024,02,away,W,01,00,01,09741,4700,5041,4-2-3-1,"""01, 31, 06, 25, 19, 15, 16, 20, 10, 09, 22""","""28202064, 12312064, 03152064, 07162076, 11102080""","""10, 03""",01,55,13,13,06,06,02,404,80,04,01,22,13,50,06,17,07,08,00,00,00,29,"""2219208347""",X,X,X,X,X,X,X,X,X,X,X,X
1002,013,Portland Thorns FC,24032024,06,home,L,00,01,00,10634,5123,5511,4-3-3,"""18, 23, 04, 20, 02, 13, 17, 21, 22, 09, 16""","""12162064, 08212078""","""04""",10,50,15,09,07,07,01,290,73,03,03,25,14,64,05,13,16,15,01,00,00,35,X,"""18207120""",X,X,X,X,X,X,X,X,X,X,X
0601,013,NJ/NY Gotham FC,24032024,10,away,W,01,00,01,10634,5123,5511,4-3-3,"""38, 05, 21, 15, 02, 17, 14, 06, 23, 09, 19""","""18231049, 03052066, 28192066, 08092092""","""05, 15""",08,50,09,15,07,07,01,299,73,03,53,14,25,53,06,35,15,16,04,00,00,21,"""0918207120""",X,X,X,X,X,X,X,X,X,X,X,X
1312,080,Utah Royals FC,08062024,14,home,L,00,01,00,10117,4902,5215,4-3-3,"""01, 05, 17, 08, 12, 22, 10, 19, 04, 09, 15""","""14222057, 30192057, 07152077, 16042088, 20122088"" ","""04, 16""",14,46,11,16,06,11,03,224,75,03,10,11,22,38,06,20,12,07,01,00,00,22,X,"""01102507""",X,X,X,X,X,X,X,X,X,X,X
1412,080,Washington Spirit,08062024,13,away,W,01,00,00,10117,4902,5215,4-2-3-1,"""11, 02, 33, 06, 12, 17, 14, 09, 05, 03, 01""","""16062046, 07332046, 13022066""","""01""",03,54,16,11,11,06,04,260,77,10,03,22,11,50,03,08,07,12,01,00,00,28,"""06XX102507""",X,X,X,X,X,X,X,X,X,X,X,X
0203,019,Bay FC,30032024,04,home,L,02,03,00,10629,4817,5812,4-3-3,"""44, 02, 27, 04, 03, 18, 22, 10, 11, 08, 12""","""09082062, 19182079, 07112080""","""18, 22""",07,55,14,15,10,08,05,371,78,07,04,26,15,63,02,24,09,11,02,00,00,29,"""10XX101823, 09XX209241""","""44206548, 44208608, 44209941""","""208606""",K44,Y,NA,NA,NA,NA,C,L,On,Y
0403,019,Houston Dash,30032024,02,away,W,03,02,01,10629,4817,5812,3-1-4-2,"""11, 16, 12, 10, 09, 07, 31, 17, 08, 13, 01""","""15102060, 30122060, 06312068, 19162081, 14112081""","""01""",12,45,15,14,08,10,03,280,73,04,07,16,26,47,03,27,11,09,02,00,00,35,"""0907206548, 09XX208608, 06XX209941""","""01101823, 01209241""","""208606""",S09,Y,C,L,On,Y,NA,NA,NA,NA
0414,093,Houston Dash,22062024,12,home,D,00,00,00,10606,5100,5506,3-5-2,"""01, 07, 04, 03, 10, 17, 13, 15, 30, 28, 09""","""11152059, 11172060, 19102078, 14282085""","""04""",10,51,06,09,02,05,01,299,76,06,04,22,20,40,03,18,14,13,01,00,00,14,X,X,X,X,X,X,X,X,X,X,X,X,X
1214,093,San Diego Wave,22062024,04,away,D,00,00,00,10606,5100,5506,4-2-3-1,"""19, 18, 15, 77, 21, 24, 20, 02, 04, 16, 01""","""11152059, 05772059, 23182068, 14162068, 10242086""","""02""",09,49,09,06,05,02,02,317,82,04,06,20,22,46,01,16,13,14,01,00,00,25,X,X,X,X,X,X,X,X,X,X,X,X,X
0823,156,Seattle Reign FC,04102024,01,home,L,00,01,00,10433,4931,5502,4-2-3-1,"""01, 25, 21, 32, 24, 16, 46, 23, 09, 91, 34""","""31162063, 47232064, 12242076, 30092090"" ","""34""",11,50,06,11,01,02,X,311,69,09,08,24,19,X,01,13,09,15,01,00,00,24,X,"""01103309""",X,X,X,X,X,X,X,X,X,X,X
0123,156,Angel City FC,04102024,08,away,W,01,00,01,10433,4931,5502,4-2-3-1,"""24, 10, 08, 21, 04, 99, 27, 11, 06, 16, 13""","""20162046, 02062064, 17082081, 23212088""","""11""",10,50,11,06,02,01,X,326,72,08,09,19,24,X,01,35,15,09,02,00,00,13,"""1621103309""",X,X,X,X,X,X,X,X,X,X,X,X
0513,083,Kansas City Current,14062024,03,home,D,02,02,01,10820,5700,5120,4-4-2,"""21, 18, 12, 07, 04, 16, 99, 10, 17, 06, 09""","""14161046, 94092073, 05172074, 47992078, 11102078""","""10""",01,63,28,08,15,04,08,370,79,09,05,24,12,41,00,12,09,06,01,00,00,34,"""09XX205057, 0699205722""","""21100502, 21208943""",X,X,X,X,X,X,X,X,X,X,X
0313,083,Chicago Red Stars,14062024,05,away,D,02,02,02,10820,5700,5120,4-4-2,"""55, 09, 13, 20, 04, 15, 12, 41, 03, 23, 01""","""08152961, 10202073, 11552083"" ","""01""",06,37,08,28,04,15,02,165,60,05,09,12,24,54,05,35,06,09,01,00,00,20,"""0915100502, 0309208943""","""01205057, 01205722""",X,X,X,X,X,X,X,X,X,X,X
0408,052,Houston Dash,08052024,06,home,L,00,01,00,10310,5034,5236,3-5-2,"""01, 08, 13, 07, 15, 20, 10, 31, 11, 28, 09""","""19311038, 04102046, 30142046, 16282068, 33132084""","""01""",13,48,03,19,02,11,00,283,77,00,08,04,26,36,04,37,13,04,02,00,00,21,X,"""01100747""",X,X,X,X,X,X,X,X,X,X,X
0607,052,NJ/NY Gotham FC,08052024,04,away,W,01,00,00,10310,5034,5236,4-3-3,"""13, 09, 10, 19, 14, 17, 25, 06, 21, 02, 30""","""03022076, 18102076, 16132076, 77192089, 22092095""","""10, 14""",09,52,19,03,11,02,06,309,79,08,00,26,04,59,02,04,08,13,02,00,00,21,"""10XX100747""",X,X,X,X,X,X,X,X,X,X,X,X
0421,144,Houston Dash,21092024,08,home,W,01,00,00,10020,4702,5318,4-3-3,"""01, 02, 07, 33, 30, 14, 10, 31, 15, 09, 11""","""17142071, 21102085, 22112090""","""01""",14,37,10,11,02,02,02,231,81,05,05,13,26,44,02,27,12,11,04,00,00,17,"""14XX204934""",X,X,X,X,X,X,X,X,X,X,X,X
0821,144,Seattle Reign FC,21092024,04,away,L,00,01,00,10020,4702,5318,4-3-3,"""34, 09, 23, 16, 05, 91, 31, 21, 03, 25, 01""","""30232059, 24312059, 13252077, 02072086""","""03""",10,63,11,10,02,02,03,423,87,05,05,26,13,49,01,15,11,12,02,00,00,29,X,"""01204934""",X,X,X,X,X,X,X,X,X,X,X
0311,074,Chicago Red Stars,25052024,11,home,L,00,01,00,09834,5003,4831,4-2-3-1,"""19, 23, 03, 12, 28, 04, 13, 09, 34, 24, 55""","""33242046, 10342066, 41282081, 20042081, 08552086""","""09""",05,45,13,21,09,09,04,258,73,04,08,09,33,40,03,43,15,10,03,00,00,20,X,"""19102512""",X,X,X,X,X,X,X,X,X,X,X
1110,074,Racing Louisville FC,25052024,03,away,W,01,00,00,09834,5003,4831,4-2-3-1,"""23, 13, 07, 09, 26, 14, 02, 03, 20, 16, 01""","""66092066, 21232079, 17132090""","""20""",10,55,21,13,09,09,05,333,80,08,04,33,09,46,05,20,10,15,02,00,00,14,"""13XX102512""",X,X,X,X,X,X,X,X,X,X,X,X
1126,182,Racing Louisville FC,03112024,12,home,L,01,03,00,09804,4703,5101,4-2-3-1,"""88, 13, 09, 16, 14, 26, 02, 05, 20, 11, 01""","""08262046, 17132061, 21162061, 18882072, 15052078""","""20""",09,41,15,14,04,08,03,285,81,02,08,11,17,30,05,16,09,07,02,00,00,15,"""88XX206735""","""01100206, 01102141, 01207538""",X,X,X,X,X,X,X,X,X,X,X
1226,182,San Diego Wave,03112024,11,away,W,03,01,02,09804,4703,5101,4-2-3-1,"""01, 75, 14, 20, 06, 24, 05, 77, 11, 69, 19""","""15752030, 07192046, 21772067, 23112078""","""01""",12,59,14,15,08,04,03,416,83,08,02,17,11,44,03,12,07,09,01,00,00,26,"""1169100206, 77XX102141, 2169207538""","""01206735""",X,X,X,X,X,X,X,X,X,X,X
0801,005,Seattle Reign FC,17032024,14,home,W,01,00,00,11252,5442,5810,4-4-2,"""01, 17, 25, 21, 11, 05, 10, 06, 91, 09, 08""","""33082063, 03172063, 12912094, 22252094, 47882096""","""10, 03""",X,50,14,02,11,02,05,358,79,04,03,21,10,48,01,16,10,13,00,00,00,29,"""08XX100202""",X,"""100202""",S08,Y,L,L,On,N,NA,NA,NA,NA
1401,005,Washington Spirit,17032024,08,away,L,00,01,00,11252,5442,5810,4-2-3-1,"""33, 13, 07, 11, 12, 17, 14, 09, 03, 06, 01""","""05061047, 08132065, 16332065, 18072092""","""01""",X,50,02,14,02,11,01,366,79,03,04,10,21,47,05,26,13,10,02,01,00,19,X,"""01100202""","""100202""",K01,Y,NA,NA,NA,NA,L,L,On,N
1218,126,San Diego Wave,01092024,14,home,D,01,01,00,10258,4715,5543,4-2-3-1,"""01, 14, 04, 12, 06, 15, 05, 69, 77, 25, 13""","""20062062, 07132070, 10252070, 23692089, 18772089""","""13, 15""",10,54,08,18,02,04,02,391,84,04,06,22,17,47,04,28,08,10,00,00,01,21,"""14XX206715""","""01102938""",X,X,X,X,X,X,X,X,X,X,X
1418,126,Washington Spirit,01092024,12,away,D,01,01,00,10258,4715,5543,4-3-3,"""02, 11, 19, 17, 12, 10, 26, 09, 05, 03, 01""","""08192062, 16172079, 14032079""","""01""",03,46,18,08,04,02,07,332,82,06,04,17,22,43,01,22,10,08,00,00,00,37,"""OG14102938""","""01206715""",X,X,X,X,X,X,X,X,X,X,X