Team,TeamID,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26
Orlando Pride,9,6,9,8,5,5,4,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
Washington Spirit,14,12,6,4,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
NJ/NY Gotham FC,6,8,4,7,7,11,11,9,7,7,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
Kansas City Current,5,3,2,1,1,1,1,2,1,2,2,1,1,1,1,1,2,3,3,3,4,4,4,4,4,4,4
North Carolina Courage,7,1,3,3,2,4,2,6,6,6,7,8,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5
Portland Thorns FC,10,10,14,13,14,9,7,4,4,4,4,4,5,5,5,5,5,5,6,6,6,7,7,7,7,7,6
Bay FC,2,5,7,10,6,8,10,12,13,11,12,10,12,11,11,8,8,10,8,7,8,9,8,8,8,8,7
Chicago Red Stars,3,2,1,2,4,3,5,5,5,5,6,6,6,7,7,7,7,7,7,8,7,6,6,6,6,6,8
Racing Louisville FC,11,7,10,9,9,6,6,8,11,10,8,7,8,8,8,9,9,8,10,11,9,8,9,9,9,9,9
San Diego Wave FC,12,9,13,6,8,10,8,10,8,8,9,9,9,9,9,10,10,11,12,12,12,12,10,10,12,13,10
Utah Royals FC,13,13,8,12,13,14,13,14,14,14,14,14,14,14,14,14,14,14,13,13,13,14,13,12,10,10,11
Angel City FC,1,11,11,14,10,7,9,7,9,9,11,12,11,10,10,11,11,9,9,9,10,10,11,11,11,11,12
Seattle Reign FC,8,4,5,11,12,13,14,11,12,13,13,13,13,13,13,13,13,12,11,10,11,11,12,13,13,12,13
Houston Dash,4,14,12,5,11,12,12,13,10,12,10,11,10,12,12,12,12,13,14,14,14,13,14,14,14,14,14